domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
workreport,WorkReportCheckinTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workreport/WorkReportCheckinTool.java,true,true,true,2,1,MEDIUM,"存在 1 条可疑模式需人工复核"
alert,AlertAcknowledgeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertAcknowledgeTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertActiveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertActiveTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertByEquipmentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertByEquipmentTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertByLevelTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertByLevelTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertDiagnoseTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertDiagnoseTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertListTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertResolveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertResolveTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
alert,AlertStatsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertStatsTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
alert,AlertTriageTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/alert/AlertTriageTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
system,ApprovalConfigTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/ApprovalConfigTool.java,true,true,true,6,0,LOW,"factoryId 被使用 6 次，无可疑模式"
dataop,ApprovalRecordQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/ApprovalRecordQueryTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
hr,AttendanceAnomalyTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/AttendanceAnomalyTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
hr,AttendanceDepartmentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/AttendanceDepartmentTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
hr,AttendanceHistoryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/AttendanceHistoryTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
hr,AttendanceMonthlyTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/AttendanceMonthlyTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
hr,AttendanceStatsByDeptTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/AttendanceStatsByDeptTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
